"Year","Make","Model","Price","Mileage","Seller","Type.Of.Seller","Body","Color","City"
2005,"Hummer","H2",44995,17993,"O.C. AUTOHAUS INC.       888-677-2471","Dealer","SUV","Champaign ","Los Angeles"
2004,"Hummer","H2",42000,25000,"Classified Ad       ","Individual","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",3000,69981,"Classified Ad       ","Individual","SUV","  ","Los Angeles"
2005,"Hummer","H2",49995,25482,"Allen Motors       877-620-7986","Dealer","SUV","Black ","Los Angeles"
2004,"Hummer","H2",45977,19912,"Orange Empire Auto Center       800-693-5513","Dealer","SUV","Black ","Los Angeles"
2004,"Hummer","H2",51995,25879,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Orange ","Los Angeles"
2003,"Hummer","H1",69900,45940,"DC Motors       888-639-9122","Dealer","SUV","Pewter Metallic ","Los Angeles"
2006,"Hummer","H3",32992,6450,"House of Imports       888-272-0256","Dealer","SUV","Blue ","Los Angeles"
2006,"Hummer","H3",33977,14002,"Saturn of Thousand Oaks       866-394-1125","Dealer","SUV","Silver ","Los Angeles"
2004,"Hummer","H2",37995,40796,"Penske Cadillac Hummer       800-832-3086","Dealer","SUV","Champagne ","Los Angeles"
2002,"Hummer","H1",59995,20183,"Seaside Motors       888-240-7422","Dealer","SUV","Black ","Los Angeles"
2004,"Hummer","H2",44995,38196,"Yes Auto Credit & Sales       866-683-2355","Dealer","SUV","Pewter ","Los Angeles"
2003,"Hummer","H2",34999,55800,"Valley Coach Co.       866-702-7235","Dealer","SUV","Platinum Gray ","Los Angeles"
2005,"Hummer","H2",46999,4984,"AB Leasing       888-214-2315","Dealer","SUV","White ","Los Angeles"
2003,"Hummer","H2",34500,31998,"Individual Seller       951-278-8137","Individual","SUV","Black ","Los Angeles"
2003,"Hummer","H2",44195,31625,"Team Chevrolet | Hummer | Hyundai       866-333-7792","Dealer","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",48995,43921,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",41995,41142,"House of Luxuries       877-877-5130","Dealer","SUV","Pewter ","Los Angeles"
2006,"Hummer","H3",29500,10,"The Lease Outlet       888-312-8949","Dealer","SUV","Red ","Los Angeles"
2005,"Hummer","H2",45000,35000,"Individual Seller       818-640-6831","Individual","SUV","Pewter ","Los Angeles"
2006,"Hummer","H3",29995,10995,"Penske Cadillac Hummer       800-832-3086","Dealer","SUV","Gray ","Los Angeles"
2003,"Hummer","H2",35900,39000,"Classified Ad       ","Individual","SUV","Orange ","Los Angeles"
2003,"Hummer","H2",36900,52000,"Auto Credit Acceptance       888-694-5183","Dealer","SUV","Tan ","Los Angeles"
2003,"Hummer","H2",37995,48,"Hooman Pontiac GMC Buick       800-519-2412","Dealer","SUV","Pewter ","Los Angeles"
2003,"Hummer","H2",41800,59000,"Classified Ad       ","Individual","SUV","Yellow ","Los Angeles"
2006,"Hummer","H2",49995,1213,"OC Pro Auto Brokers       888-419-4069","Dealer","SUV","White ","Los Angeles"
2003,"Hummer","H2",41787,31478,"Silver Star Cadillac Hummer SAAB       888-229-1256","Dealer","SUV","Black ","Los Angeles"
2006,"Hummer","H3",35888,7235,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Gray ","Los Angeles"
2003,"Hummer","H2",41999,61961,"Valley Auto Center       866-733-7154","Dealer","SUV","Black ","Los Angeles"
2003,"Hummer","H2",36900,52000,"Auto Credit Acceptance       888-694-5183","Dealer","SUV","Gray ","Los Angeles"
2004,"Hummer","H2",40898,39725,"Norco Mazda       888-232-4513","Dealer","SUV","Maroon ","Los Angeles"
2003,"Hummer","H2",36995,20620,"South Bay Pre-Owned       888-269-3236","Dealer","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",38995,54000,"Individual Seller       714-686-3345","Individual","SUV","Yellow ","Los Angeles"
2006,"Hummer","H3",33999,11122,"Connell Chevrolet       877-868-1760","Dealer","SUV","Red ","Los Angeles"
2003,"Hummer","H2",39500,43697,"MR6 Auto Sales       888-508-2606","Dealer","SUV","Black ","Los Angeles"
2003,"Hummer","H2",34995,69709,"Radical Auto Deals       888-267-4235","Dealer","SUV","Champagne ","Los Angeles"
2003,"Hummer","H2",38899,28500,"Individual Seller       626-202-9390","Individual","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",42999,33000,"Classic Motors       888-887-1434","Dealer","SUV","Orange ","Los Angeles"
2004,"Hummer","H2",45999,12000,"Individual Seller       714-231-8402","Individual","SUV","Black ","Los Angeles"
2003,"Hummer","H2",43888,9757,"Norco Mazda       888-232-4513","Dealer","SUV","Pewter ","Los Angeles"
2002,"Hummer","H1",64999,21855,"Valley Coach Co.       866-702-7235","Dealer","SUV","Black ","Los Angeles"
2003,"Hummer","H2",33995,72397,"Penske Cadillac Hummer       800-832-3086","Dealer","SUV","Champagne ","Los Angeles"
2004,"Hummer","H2",54995,25973,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Black ","Los Angeles"
2003,"Hummer","H2",41800,59000,"Classified Ad       ","Individual","SUV","Yellow ","Los Angeles"
2003,"Hummer","H2",39995,59431,"Rancho Motors       866-310-2411","Dealer","SUV","Black ","Los Angeles"
2003,"Hummer","H2",39787,31354,"Silver Star Cadillac Hummer SAAB       888-229-1256","Dealer","SUV","Pewter ","Los Angeles"
2005,"Hummer","H2",45999,11657,"AB Leasing       888-214-2315","Dealer","SUV","Shadow Green Me... ","Los Angeles"
2003,"Hummer","H2",30900,69000,"Individual Seller       714-403-5857","Individual","SUV","Pewter ","Los Angeles"
2006,"Hummer","H3",35988,262,"Cerritos Pontiac - Buick - GMC - Hummer       888-262-1819","Dealer","SUV","Green ","Los Angeles"
2005,"Hummer","H2",56988,7150,"Martin Cadillac       877-658-9725","Dealer","SUV","Burgundy ","Los Angeles"
2003,"Hummer","H2",41800,59000,"Classified Ad       ","Individual","SUV","Yellow ","Los Angeles"
2006,"Hummer","H3",40995,4148,"Don A Vee Chrysler Jeep - Placentia       888-614-2287","Dealer","SUV","Yellow ","Los Angeles"
2006,"Hummer","H3",35980,13381,"Karplus Warehouse Inc.       866-207-3885","Dealer","SUV","Black ","Los Angeles"
2003,"Hummer","H2",39996,35621,"Norco Mazda       888-232-4513","Dealer","SUV","Black ","Los Angeles"
2005,"Hummer","H2",49895,13411,"Crevier BMW       800-945-1613","Dealer","SUV","Black ","Los Angeles"
2005,"Hummer","H2",47995,18000,"Classified Ad       ","Individual","SUV","  ","Los Angeles"
2003,"Hummer","H2",39787,40209,"Silver Star Cadillac Hummer SAAB       888-229-1256","Dealer","SUV","Pewter ","Los Angeles"
2004,"Hummer","H2",47900,21405,"California Cars       888-410-2659","Dealer","SUV","Black ","Los Angeles"
2004,"Hummer","H2 ",46995,22624,"Paramus Auto Mall Chevrolet Hummer       866-728-3205","Dealer","SUV","Yellow ","New York"
2004,"Hummer","H2 ",43995,12616,"Paramus Auto Mall Chevrolet Hummer       866-728-3205","Dealer","SUV","Red ","New York"
2003,"Hummer","H2 ",44999,17181,"Peruzzi Pontiac Buick GMC       800-660-5096","Dealer","SUV","White ","New York"
2003,"Hummer","H2 ",36388,31417,"City Cadillac Hummer Saab       800-865-9052","Dealer","SUV","Yellow ","New York"
2003,"Hummer","H2 ",39988,16300,"Land Rover Long Island       800-676-8464","Dealer","SUV","White ","New York"
2004,"Hummer","H2 ",38750,30000,"Classified Ad       ","Individual","SUV","Pewter ","New York"
2004,"Hummer","H2 ",38995,39712,"Potamkin Cadillac Hummer of Harlem       800-455-9374","Dealer","SUV","Rd ","New York"
2004,"Hummer","H2 ",42995,27882,"Freedom Auto Center       866-683-8321","Dealer","SUV","White ","New York"
2005,"Hummer","H2 ",79995,8773,"Individual Seller       631-499-3684","Individual","SUV","Pewter ","New York"
2006,"Hummer","H3 ",35995,2483,"Malouf Buick Pontiac GMC       888-243-7119","Dealer","SUV","Red ","New York"
2005,"Hummer","H2 ",44995,34776,"Paramus Auto Mall Chevrolet Hummer       866-728-3205","Dealer","SUV","Gold ","New York"
2004,"Hummer","H2 ",39995,28446,"Stockburger Chevrolet       888-679-8766","Dealer","SUV","  ","New York"
2003,"Hummer","H2 ",38975,34255,"Karl Chevrolet-Hummer       877-646-4639","Dealer","SUV","Pewter ","New York"
2003,"Hummer","H2 ",33885,49382,"Beacon Chevrolet Oldsmobile Inc.       877-340-1597","Dealer","SUV","Yellow ","New York"
2004,"Hummer","H2 ",46900,42393,"C & K Auto Imports, Inc.       888-954-7090","Dealer","SUV","Black ","New York"
2004,"Hummer","H2 ",57000,14950,"Individual Seller       212-612-2556","Individual","SUV","Black ","New York"
2003,"Hummer","H2 ",34995,53074,"Paramus Auto Mall Chevrolet Hummer       866-728-3205","Dealer","SUV","Orange ","New York"
2005,"Hummer","H2 ",46900,19900,"Individual Seller       631-664-1004","Individual","SUV","Yellow ","New York"
2004,"Hummer","H2 ",44995,12926,"Malouf Ford       866-951-8097","Dealer","SUV","Black ","New York"
2004,"Hummer","H2 ",40995,21843,"Argie Auto Sales Inc.       888-807-0020","Dealer","SUV","White ","New York"
2003,"Hummer","H2 ",38995,30400,"Cox National Cars       877-366-9120","Dealer","SUV","Pewter ","New York"
2004,"Hummer","H2 ",44495,26271,"LINK TO LUXURY Cadillac / Jaguar / Hummer       800-945-6136","Dealer","SUV","Black ","New York"
2004,"Hummer","H2 ",42995,27914,"City Cadillac Hummer Saab       800-865-9052","Dealer","SUV","Black ","New York"
2004,"Hummer","H2 ",39995,23009,"City Cadillac Hummer Saab       800-865-9052","Dealer","SUV","Pewter Metallic ","New York"
2006,"Hummer","H3 ",32437,6587,"Paul Miller Luxury Pre - Owned       866-522-4075","Dealer","SUV","Blue ","New York"
2004,"Hummer","H2 ",44995,25836,"Paramus Auto Mall Chevrolet Hummer       866-728-3205","Dealer","SUV","Black ","New York"
2005,"Hummer","H2 ",49299,22000,"Individual Seller       516-921-4241","Individual","SUV","Black ","New York"
2006,"Hummer","H3 ",36995,2861,"Auto/Market/Inc       877-384-2035","Dealer","SUV","Charcoal ","New York"
2003,"Hummer","H2 ",39900,49212,"Long Island Used Car Superstore       877-305-5064","Dealer","SUV","White ","New York"
2003,"Hummer","H2 ",39890,19416,"Karl Chevrolet-Hummer       877-646-4639","Dealer","SUV","Red Metallic ","New York"
2003,"Hummer","H2 ",35495,42478,"City Cadillac Hummer Saab       800-865-9052","Dealer","SUV","Yellow ","New York"
2003,"Hummer","H2 ",34995,51000,"Paramus Auto Mall Chevrolet Hummer       866-728-3205","Dealer","SUV","White ","New York"
2006,"Hummer","H3 ",31995,10714,"Potamkin Cadillac Hummer of Harlem       800-455-9374","Dealer","SUV","Black ","New York"
2003,"Hummer","H2 ",34995,47851,"Argie Auto Sales Inc.       888-807-0020","Dealer","SUV","Gray ","New York"
2006,"Hummer","H3 ",29995,12941,"Metro Auto Mall       888-201-7626","Dealer","SUV","Red ","New York"
2004,"Hummer","H2 ",43000,14500,"Individual Seller       203-249-1028","Individual","SUV","Black ","New York"
2004,"Hummer","H2 ",46995,6887,"Paramus Auto Mall Chevrolet Hummer       866-728-3205","Dealer","SUV","Gold ","New York"
2005,"Hummer","H2 ",49995,18000,"Beach Auto Sales       866-875-1772","Dealer","SUV","White ","New York"
2003,"Hummer","H2 ",37995,50000,"Auto/Market/Inc       877-384-2035","Dealer","SUV","White ","New York"
2003,"Hummer","H2 ",34895,41065,"Deluxe Auto Sales       866-833-6359","Dealer","SUV","Burgundy ","New York"
2004,"Hummer","H2 ",38995,23000,"Individual Seller       917-750-1929","Individual","SUV","Pewter ","New York"
2004,"Hummer","H2 ",35995,49369,"Paramus Auto Mall Chevrolet Hummer       866-728-3205","Dealer","SUV","Gold ","New York"
2006,"Hummer","H3 ",31995,12500,"Burlington Imports       866-217-2059","Dealer","SUV","Black ","New York"
2006,"Hummer","H3 ",30995,13251,"Star Nissan       888-276-0470","Dealer","SUV","Red ","New York"
2003,"Hummer","H2 ",38473,58777,"Potamkin Cadillac Hummer of Harlem       800-455-9374","Dealer","SUV","Black ","New York"
2003,"Hummer","H2 ",36995,41112,"Paramus Auto Mall Chevrolet Hummer       866-728-3205","Dealer","SUV","Green ","New York"
2003,"Hummer","H2 ",35900,38704,"Global Auto Inc.       866-625-5731","Dealer","SUV","Yellow ","New York"
2005,"Hummer","H2 ",49988,13050,"Land Rover Long Island       800-676-8464","Dealer","SUV","Yellow ","New York"
2003,"Hummer","H2 ",39990,29720,"Karl Chevrolet-Hummer       877-646-4639","Dealer","SUV","Black ","New York"
2003,"Hummer","H2 ",39988,17200,"Land Rover Long Island       800-676-8464","Dealer","SUV","White ","New York"
2003,"Hummer","H2 ",36899,38927,"Richard Lucas Chevrolet Subaru       877-265-8862","Dealer","SUV","Burgandy ","New York"
2003,"Hummer","H2 ",33150,47000,"Individual Seller       516-448-2632","Individual","SUV","Orange ","New York"
2005,"Hummer","H2 ",46300,8571,"Baron Kia       888-724-1492","Dealer","SUV","Blue ","New York"
2004,"Hummer","H2 ",43995,25810,"Paramus Auto Mall Chevrolet Hummer       866-728-3205","Dealer","SUV","Yellow ","New York"
2003,"Hummer","H2 ",34995,32350,"Metro Auto Mall       888-201-7626","Dealer","SUV","Gr ","New York"
2003,"Hummer","H2 ",35495,51977,"Frontline Auto Sales       888-533-1889","Dealer","SUV","Black ","New York"
2003,"Hummer","H2 ",38995,32134,"Lighthouse Ford       800-651-7715","Dealer","SUV","White ","New York"
2003,"Hummer","H2 ",35995,33020,"Star Nissan       888-276-0470","Dealer","SUV","Green ","New York"
2006,"Hummer","H3 ",31888,10911,"Dover Dodge Used Car Center       866-559-1527","Dealer","SUV","Black ","New York"
2003,"Hummer","H2 ",30990,63675,"Towne Motors of Route 130       888-741-9713","Dealer","SUV","Pewter ","New York"
2003,"Hummer","H2 ",38995,37334,"City Cadillac Hummer Saab       800-865-9052","Dealer","SUV","Black ","New York"
2003,"Hummer","H2 ",34000,84000,"Classified Ad       ","Individual","SUV","  ","New York"
2003,"Hummer","H2 ",38995,24889,"J & S Autohaus       888-862-7540","Dealer","SUV","Pewter ","New York"
