contest_period,variable,value
July-December1997,PROS,-14.1
August1997-January1998,PROS,14.3
September1997-February1998,PROS,10.9
October1997-March1998,PROS,5.5
November1997-April1998,PROS,17.4
December1997-May1998,PROS,0
January-June1998,PROS,24.4
February-July1998,PROS,39.3
March-August1998,PROS,-18.8
April-September1998,PROS,-20.1
January-June1990,DARTS,0
February-July1990,DARTS,1.8
March-August1990,DARTS,-14.3
April-September1990,DARTS,-7.2
May-October1990,DARTS,-16.3
June-November1990,DARTS,-27.4
July-December1990,DARTS,-22.5
August1990-January1991,DARTS,-37.3
September1990-February1991,DARTS,-2.5
October1990-March1991,DARTS,11.2
November1990-April1991,DARTS,72.9
December1990-May1991,DARTS,16.6
January-June1991,DARTS,28.7
February-July1991,DARTS,44.8
March-August1991,DARTS,71.3
April-September1991,DARTS,2.8
May-October1991,DARTS,38
June-November1991,DARTS,-23.2
July-December1991,DARTS,4.1
August1991-January1992,DARTS,-14
September1991-February1992,DARTS,11.7
October1991-March1992,DARTS,1.1
November1991-April1992,DARTS,-3.1
December1991-May1992,DARTS,-1.4
January-June1992,DARTS,7.7
February-July1992,DARTS,15.4
March-August1992,DARTS,3.6
April-September1992,DARTS,5.7
May-October1992,DARTS,-5.7
June-November1992,DARTS,6.9
July-December1992,DARTS,1.8
August1992-January1993,DARTS,-13.9
September1992-February1993,DARTS,15.6
October1992-March1993,DARTS,18.7
November1992-April1993,DARTS,-3.6
December1992-May1993,DARTS,6.6
January1993-June1993,DARTS,4.7
February1993-July1993,DARTS,-43
March1993-August1993,DARTS,-5.6
April1993-September1993,DARTS,-17.7
May1993-October1993,DARTS,-4.9
June1993-November1993,DARTS,-21.4
July1993-Dec.1993,DARTS,42.2
August1993-January1994,DARTS,18.5
September1993-February1994,DARTS,1.5
October1993-March1994,DARTS,-9.2
November1993-April1994,DARTS,-10.5
December1993-May1994,DARTS,1.4
January-June1994,DARTS,-8.7
February-July1994,DARTS,16.9
March-August1994,DARTS,-4.3
April-September1994,DARTS,20.6
May-October1994,DARTS,10.3
June-November1994,DARTS,-6.8
July-December1994,DARTS,5.3
August1994-January1995,DARTS,2.8
September1994-Febuary1995,DARTS,11.9
October1994-March1995,DARTS,3.8
November1994-April1995,DARTS,1.4
December1994-May1995,DARTS,9
January1995-June1995,DARTS,11.8
Febuary-July1995,DARTS,16.5
March-August1995,DARTS,11.4
April1995-September1995,DARTS,3.3
May-October1995,DARTS,17.6
June-November1995,DARTS,23.8
July1995-December1995,DARTS,18.7
August1995-January1996,DARTS,-2.4
September1995-February1996,DARTS,25.4
October1995-March1996,DARTS,50.5
November1995-April1996,DARTS,24.4
December1995-May1996,DARTS,11.5
January-June1996,DARTS,-5.3
February-July1996,DARTS,2.6
March-August1996,DARTS,-5.7
April-September1996,DARTS,7.8
May-October1996,DARTS,2
June-November1996,DARTS,6.2
July-December1996,DARTS,6.9
August1996-January1997,DARTS,4.7
September1996-February1997,DARTS,24.6
October1996-March1997,DARTS,-16.9
November1996-April1997,DARTS,-9.7
December1996-May1997,DARTS,-21.4
January-June1997,DARTS,18
February-July1997,DARTS,-13.9
March-August1997,DARTS,0.1
April-September1997,DARTS,35.6
May-October1997,DARTS,20.7
June-November1997,DARTS,6.5
July-December1997,DARTS,6.5
August1997-January1998,DARTS,-9
September1997-February1998,DARTS,-3.3
October1997-March1998,DARTS,13.3
November1997-April1998,DARTS,-10.5
December1997-May1998,DARTS,28.5
January-June1998,DARTS,3.2
February-July1998,DARTS,-10.1
March-August1998,DARTS,-20.4
April-September1998,DARTS,-34.2
January-June1990,DJIA,2.5
February-July1990,DJIA,11.5
March-August1990,DJIA,-2.3
April-September1990,DJIA,-9.2
May-October1990,DJIA,-8.5
June-November1990,DJIA,-12.8
July-December1990,DJIA,-9.3
August1990-January1991,DJIA,-0.8
September1990-February1991,DJIA,11
October1990-March1991,DJIA,15.8
November1990-April1991,DJIA,16.2
December1990-May1991,DJIA,17.3
January-June1991,DJIA,17.7
February-July1991,DJIA,7.6
March-August1991,DJIA,4.4
April-September1991,DJIA,3.4
May-October1991,DJIA,4.4
June-November1991,DJIA,-3.3
July-December1991,DJIA,6.6
August1991-January1992,DJIA,6.5
September1991-February1992,DJIA,8.6
October1991-March1992,DJIA,7.2
November1991-April1992,DJIA,10.6
December1991-May1992,DJIA,17.6
January-June1992,DJIA,3.6
February-July1992,DJIA,4.2
March-August1992,DJIA,-0.3
April-September1992,DJIA,-0.1
May-October1992,DJIA,-5
June-November1992,DJIA,-2.8
July-December1992,DJIA,0.2
August1992-January1993,DJIA,-0.8
September1992-February1993,DJIA,2.5
October1992-March1993,DJIA,9
November1992-April1993,DJIA,5.8
December1992-May1993,DJIA,6.7
January1993-June1993,DJIA,7.7
February1993-July1993,DJIA,3.7
March1993-August1993,DJIA,7.3
April1993-September1993,DJIA,5.2
May1993-October1993,DJIA,5.7
June1993-November1993,DJIA,4.9
July1993-Dec.1993,DJIA,8
August1993-January1994,DJIA,11.2
September1993-February1994,DJIA,5.5
October1993-March1994,DJIA,1.6
November1993-April1994,DJIA,0.5
December1993-May1994,DJIA,1.3
January-June1994,DJIA,-6.2
February-July1994,DJIA,-5.3
March-August1994,DJIA,1.5
April-September1994,DJIA,4.4
May-October1994,DJIA,6.9
June-November1994,DJIA,-0.3
July-December1994,DJIA,3.6
August1994-January1995,DJIA,1.8
September1994-Febuary1995,DJIA,3.2
October1994-March1995,DJIA,7.3
November1994-April1995,DJIA,12.8
December1994-May1995,DJIA,19.5
January1995-June1995,DJIA,16
Febuary-July1995,DJIA,19.6
March-August1995,DJIA,15.3
April1995-September1995,DJIA,14
May-October1995,DJIA,8.2
June-November1995,DJIA,13.1
July1995-December1995,DJIA,9.3
August1995-January1996,DJIA,15
September1995-February1996,DJIA,15.6
October1995-March1996,DJIA,18.4
November1995-April1996,DJIA,14.8
December1995-May1996,DJIA,9
January-June1996,DJIA,10.2
February-July1996,DJIA,1.3
March-August1996,DJIA,0.6
April-September1996,DJIA,5.8
May-October1996,DJIA,7.2
June-November1996,DJIA,15.1
July-December1996,DJIA,15.5
August1996-January1997,DJIA,19.6
September1996-February1997,DJIA,20.1
October1996-March1997,DJIA,9.6
November1996-April1997,DJIA,15.3
December1996-May1997,DJIA,13.3
January-June1997,DJIA,16.2
February-July1997,DJIA,20.8
March-August1997,DJIA,8.3
April-September1997,DJIA,20.2
May-October1997,DJIA,3
June-November1997,DJIA,3.8
July-December1997,DJIA,-0.7
August1997-January1998,DJIA,-0.3
September1997-February1998,DJIA,10.7
October1997-March1998,DJIA,7.6
November1997-April1998,DJIA,22.5
December1997-May1998,DJIA,10.6
January-June1998,DJIA,15
February-July1998,DJIA,7.1
March-August1998,DJIA,-13.1
April-September1998,DJIA,-11.8
