"Day_Month","Day_Year","Month","Month.Name","N69","N70","N71","N72"
23,114,4,"April",252,"292",179,"279"
24,115,4,"April",2,"244",21,"362"
25,116,4,"April",351,"328",238,"255"
26,117,4,"April",340,"137",45,"233"
27,118,4,"April",74,"235",124,"265"
28,119,4,"April",262,"82",281,"55"
29,120,4,"April",191,"111",109,"93"
30,121,4,"April",208,"358",29,"69"
1,122,5,"May",330,"179",154,"58"
2,123,5,"May",298,"96",261,"275"
3,124,5,"May",40,"171",177,"166"
4,125,5,"May",276,"240",137,"172"
5,126,5,"May",364,"301",41,"292"
6,127,5,"May",155,"268",50,"337"
7,128,5,"May",35,"29",106,"145"
8,129,5,"May",321,"105",216,"201"
9,130,5,"May",197,"357",311,"276"
10,131,5,"May",65,"146",220,"100"
11,132,5,"May",37,"293",107,"307"
12,133,5,"May",133,"210",52,"115"
13,134,5,"May",295,"353",105,"49"
14,135,5,"May",178,"40",267,"224"
15,136,5,"May",130,"344",162,"165"
16,137,5,"May",55,"175",205,"101"
17,138,5,"May",112,"212",270,"273"
18,139,5,"May",278,"180",85,"98"
19,140,5,"May",75,"155",55,"148"
20,141,5,"May",183,"242",119,"274"
21,142,5,"May",250,"225",12,"310"
22,143,5,"May",326,"199",164,"333"
23,144,5,"May",319,"222",197,"216"
24,145,5,"May",31,"22",60,"246"
25,146,5,"May",361,"26",24,"122"
26,147,5,"May",357,"148",26,"118"
27,148,5,"May",296,"122",241,"293"
28,149,5,"May",308,"9",91,"18"
29,150,5,"May",226,"61",81,"133"
30,151,5,"May",103,"209",301,"48"
31,152,5,"May",313,"350",18,"67"
1,153,6,"June",249,"65",274,"15"
2,154,6,"June",228,"304",363,"360"
3,155,6,"June",301,"135",54,"245"
4,156,6,"June",20,"42",187,"207"
5,157,6,"June",28,"233",78,"230"
6,158,6,"June",110,"153",218,"87"
7,159,6,"June",85,"169",288,"251"
8,160,6,"June",366,"7",84,"282"
9,161,6,"June",335,"352",140,"83"
10,162,6,"June",206,"76",226,"178"
11,163,6,"June",134,"355",202,"64"
12,164,6,"June",272,"51",273,"190"
13,165,6,"June",69,"342",47,"318"
14,166,6,"June",356,"363",113,"95"
15,167,6,"June",180,"276",8,"16"
16,168,6,"June",274,"229",68,"32"
17,169,6,"June",73,"289",193,"91"
18,170,6,"June",341,"214",102,"238"
19,171,6,"June",104,"163",44,"52"
20,172,6,"June",360,"43",30,"77"
21,173,6,"June",60,"113",296,"315"
22,174,6,"June",247,"307",59,"146"
23,175,6,"June",109,"44",336,"212"
24,176,6,"June",358,"236",328,"61"
25,177,6,"June",137,"327",213,"143"
26,178,6,"June",22,"308",346,"345"
27,179,6,"June",64,"55",7,"330"
28,180,6,"June",222,"215",57,"53"
29,181,6,"June",353,"154",196,"75"
30,182,6,"June",209,"217",123,"142"
1,183,7,"July",93,"104",284,"39"
2,184,7,"July",350,"322",61,"297"
3,185,7,"July",115,"30",103,"109"
4,186,7,"July",279,"59",142,"92"
5,187,7,"July",188,"287",286,"139"
6,188,7,"July",327,"164",185,"132"
7,189,7,"July",50,"365",354,"285"
8,190,7,"July",13,"106",320,"355"
9,191,7,"July",277,"1",22,"179"
10,192,7,"July",284,"158",234,"89"
11,193,7,"July",248,"174",223,"202"
12,194,7,"July",15,"257",169,"340"
13,195,7,"July",42,"349",278,"306"
14,196,7,"July",331,"156",307,"305"
15,197,7,"July",322,"273",88,"359"
16,198,7,"July",120,"284",291,"74"
17,199,7,"July",98,"341",182,"199"
18,200,7,"July",190,"90",131,"121"
19,201,7,"July",227,"316",100,"332"
20,202,7,"July",187,"120",95,"33"
21,203,7,"July",27,"356",67,"5"
22,204,7,"July",153,"282",132,"286"
23,205,7,"July",172,"172",151,"365"
24,206,7,"July",23,"360",4,"324"
25,207,7,"July",67,"3",121,"35"
26,208,7,"July",303,"47",350,"204"
27,209,7,"July",289,"85",235,"60"
28,210,7,"July",88,"190",127,"185"
29,211,7,"July",270,"4",146,"222"
30,212,7,"July",287,"15",112,"200"
31,213,7,"July",193,"221",315,"253"
1,214,8,"August",111,"326",180,"323"
2,215,8,"August",45,"102",326,"27"
3,216,8,"August",261,"279",176,"3"
4,217,8,"August",145,"300",272,"313"
5,218,8,"August",54,"64",63,"63"
6,219,8,"August",114,"251",155,"208"
7,220,8,"August",168,"263",355,"57"
8,221,8,"August",48,"49",157,"131"
9,222,8,"August",106,"125",153,"7"
10,223,8,"August",21,"359",25,"249"
11,224,8,"August",324,"230",34,"125"
12,225,8,"August",142,"320",269,"198"
13,226,8,"August",307,"58",365,"329"
14,227,8,"August",198,"103",309,"205"
15,228,8,"August",102,"270",20,"241"
16,229,8,"August",44,"329",358,"19"
17,230,8,"August",154,"343",295,"8"
18,231,8,"August",141,"109",11,"113"
19,232,8,"August",311,"83",150,"105"
20,233,8,"August",344,"69",115,"162"
21,234,8,"August",291,"50",33,"30"
22,235,8,"August",339,"250",82,"140"
23,236,8,"August",116,"10",143,"302"
24,237,8,"August",36,"274",256,"138"
25,238,8,"August",286,"364",192,"290"
26,239,8,"August",245,"91",348,"76"
27,240,8,"August",352,"232",352,"34"
28,241,8,"August",167,"248",37,"40"
29,242,8,"August",61,"32",279,"84"
30,243,8,"August",333,"167",334,"182"
31,244,8,"August",11,"275",111,"218"
1,245,9,"September",225,"283",302,"219"
2,246,9,"September",161,"161",70,"17"
3,247,9,"September",49,"183",321,"226"
4,248,9,"September",232,"231",32,"356"
5,249,9,"September",82,"295",147,"354"
6,250,9,"September",6,"21",110,"173"
7,251,9,"September",8,"265",42,"144"
8,252,9,"September",184,"108",43,"97"
9,253,9,"September",263,"313",199,"364"
10,254,9,"September",71,"130",46,"217"
11,255,9,"September",158,"288",329,"334"
12,256,9,"September",242,"314",308,"43"
13,257,9,"September",175,"238",94,"229"
14,258,9,"September",1,"247",253,"353"
15,259,9,"September",113,"291",303,"235"
16,260,9,"September",207,"139",243,"225"
17,261,9,"September",255,"200",178,"189"
18,262,9,"September",246,"333",104,"289"
19,263,9,"September",177,"228",255,"228"
20,264,9,"September",63,"261",313,"141"
21,265,9,"September",204,"68",16,"123"
22,266,9,"September",160,"88",145,"268"
23,267,9,"September",119,"206",323,"296"
24,268,9,"September",195,"237",277,"236"
25,269,9,"September",149,"107",224,"291"
26,270,9,"September",18,"93",344,"29"
27,271,9,"September",233,"338",314,"248"
28,272,9,"September",257,"309",5,"70"
29,273,9,"September",151,"303",48,"196"
30,274,9,"September",315,"18",299,"184"
1,275,10,"October",359,"306",71,"215"
2,276,10,"October",125,"191",76,"128"
3,277,10,"October",244,"134",144,"103"
4,278,10,"October",202,"266",66,"79"
5,279,10,"October",24,"166",339,"86"
6,280,10,"October",87,"78",6,"41"
7,281,10,"October",234,"131",80,"129"
8,282,10,"October",283,"45",317,"157"
9,283,10,"October",342,"302",254,"116"
10,284,10,"October",220,"160",312,"342"
11,285,10,"October",237,"84",201,"319"
12,286,10,"October",72,"70",257,"171"
13,287,10,"October",138,"92",236,"269"
14,288,10,"October",294,"115",36,"14"
15,289,10,"October",171,"310",75,"277"
16,290,10,"October",254,"34",159,"59"
17,291,10,"October",288,"290",188,"177"
18,292,10,"October",5,"340",134,"192"
19,293,10,"October",241,"74",163,"167"
20,294,10,"October",192,"196",331,"352"
21,295,10,"October",243,"5",282,"288"
22,296,10,"October",117,"36",263,"191"
23,297,10,"October",201,"339",152,"193"
24,298,10,"October",196,"149",212,"256"
25,299,10,"October",176,"17",138,"9"
26,300,10,"October",7,"184",69,"78"
27,301,10,"October",264,"318",98,"325"
28,302,10,"October",94,"28",10,"327"
29,303,10,"October",229,"259",79,"349"
30,304,10,"October",38,"332",87,"346"
31,305,10,"October",79,"311",160,"10"
1,306,11,"November",19,"243",366,"107"
2,307,11,"November",34,"205",190,"214"
3,308,11,"November",348,"294",300,"232"
4,309,11,"November",266,"39",166,"339"
5,310,11,"November",310,"286",211,"223"
6,311,11,"November",76,"245",186,"211"
7,312,11,"November",51,"72",17,"299"
8,313,11,"November",97,"119",260,"312"
9,314,11,"November",80,"176",237,"151"
10,315,11,"November",282,"63",227,"257"
11,316,11,"November",46,"123",244,"159"
12,317,11,"November",66,"255",259,"66"
13,318,11,"November",126,"272",247,"124"
14,319,11,"November",127,"11",316,"237"
15,320,11,"November",131,"362",318,"176"
16,321,11,"November",107,"197",120,"209"
17,322,11,"November",143,"6",298,"284"
18,323,11,"November",146,"280",175,"160"
19,324,11,"November",203,"252",333,"270"
20,325,11,"November",185,"98",125,"301"
21,326,11,"November",156,"35",330,"287"
22,327,11,"November",9,"253",93,"102"
23,328,11,"November",182,"193",181,"320"
24,329,11,"November",230,"81",62,"180"
25,330,11,"November",132,"23",97,"25"
26,331,11,"November",309,"52",209,"344"
27,332,11,"November",47,"168",240,"135"
28,333,11,"November",281,"324",31,"130"
29,334,11,"November",99,"100",230,"147"
30,335,11,"November",174,"67",14,"134"
1,336,12,"December",129,"347",38,"170"
2,337,12,"December",328,"321",99,"90"
3,338,12,"December",157,"110",40,"56"
4,339,12,"December",165,"305",1,"250"
5,340,12,"December",56,"27",252,"31"
6,341,12,"December",10,"198",356,"336"
7,342,12,"December",12,"162",141,"267"
8,343,12,"December",105,"323",65,"210"
9,344,12,"December",43,"114",27,"120"
10,345,12,"December",41,"204",362,"73"
11,346,12,"December",39,"73",56,"82"
12,347,12,"December",314,"19",249,"85"
13,348,12,"December",163,"151",204,"335"
14,349,12,"December",26,"348",275,"38"
15,350,12,"December",320,"87",3,"137"
16,351,12,"December",96,"41",128,"187"
17,352,12,"December",304,"315",293,"294"
18,353,12,"December",128,"208",73,"13"
19,354,12,"December",240,"249",19,"168"
20,355,12,"December",135,"218",221,"149"
21,356,12,"December",70,"181",341,"80"
22,357,12,"December",53,"194",156,"188"
23,358,12,"December",162,"219",171,"252"
24,359,12,"December",95,"2",245,"155"
25,360,12,"December",84,"361",135,"6"
26,361,12,"December",173,"80",361,"351"
27,362,12,"December",78,"239",290,"194"
28,363,12,"December",123,"128",174,"156"
29,364,12,"December",16,"145",101,"175"
30,365,12,"December",3,"192",167,"281"
31,366,12,"December",100,"126",322,"164"
