"Class","Gender","Handedness","Wear.Watch","Have.Phone","Eat.Breakfast","Have.Facebook","To.Retain.Penny","Class.Rank","Credits.Completed","Current.Credits","Height.Ft","Height.In.","Home.State","Wage","BroJ.s.age","Dist.to.Moon","Candies.in.Jar","Random...1.20","Heartbeat.30secs","Height"
"222 - 11.30","F","R","N","Y","Y","Y","Y","SR",123,14,5,3,NA,NA,38,NA,130,7,46,63
"222 - 11.30","M","R","N","Y","Y","Y","Y","FR",13,13,6,3,"ID",8.5,56,1526,186,3,37,75
"222 - 11.30","M","R","N","Y","Y","Y","Y","JR",71,12,6,72,"NV",9,40,156000,256,10,35,144
"222 - 11.30","M","R","N","Y","N","Y","Y","SR",137,13,6,0,"ID",10,40,1e+06,360,10,37,72
"222 - 11.30","M","R","N","Y","Y","Y","Y","JR",68,14,5,11,"ID",10.3,36,1.3e+07,650,17,33,71
"222 - 11.30","M","L","N","Y","Y","Y","N","SO",53,15,6,0,"NV",18,30,1.4e+07,5000,8,37,72
"222 - 11.30","F","R","N","Y","Y","Y","N","FR",14,14,5,8,"WA",8.81,53,NA,500,18,72,68
"222 - 11.30","F","R","Y","Y","Y","Y","Y","FR",18,15,5,9,"CA",15,46,1.7e+09,330,8,69,69
"222 - 11.30","M","R","N","Y","Y","Y","Y","SO",90,13,5,9,"ID",25,43,12000,572,10,38,68.5
"222 - 11.30","F","R","N","Y","Y","Y","N","SO",47,16,5,8,"OR",7.25,47,4072425,68,19,35,68
"222 - 11.30","M","R","N","Y","Y","Y","Y","JR",60,16,5,11,"UT",NA,38,2.95e+08,146,13,26,71
"222 - 11.30","M","R","Y","Y","Y","Y","Y","JR",88,8,6,2,"TX",8.5,46,2e+05,104,15,36,74
"222 - 11.30","F","R","N","Y","Y","Y","Y","JR",88,15,5,6,"NE",8,45,500,105,13,40,66
"222 - 11.30","F","R","N","Y","Y","Y","Y","JR",75,17,5,5,"SC",7.9,36,2.3e+07,185,17,39,65
"222 - 11.30","F","L","N","Y","Y","Y","Y","JR",60,12,5,7,"CO",40,35,2000,100,18,30,66.75
"222 - 11.30","F","R","N","Y","Y","Y","Y","SO",53,16,5,5,"AZ",8.7,37,1234,282,17,80,65
"222 - 11.30","F","R","Y","Y","Y","Y","Y","SO",50,14,5,4,"GA",7.25,42,6e+07,540,7,28,64
"222 - 11.30","M","R","N","Y","Y","Y","Y","JR",74,13,5,8,"ID",8,53,162000,193,17,34,68
"222 - 11.30","M","R","N","Y","Y","Y","N","SO",47,27,5,11,"AZ",10,39,90000,500,13,NA,70.75
"222 - 11.30","M","R","N","Y","Y","Y","Y","SR",97,15,5,10,"FL",10,38,80000,272,13,20,70
"222 - 11.30","M","R","N","Y","Y","Y","N","SR",117,15,6,3,"ID",8.7,36,16700,825,18,81,75
"222 - 11.30","M","R","N","Y","Y","Y","N","SO",50,14,6,2,"ID",7.5,38,216000,732,12,46,74
"222 - 11.30","F","R","N","Y","Y","Y","N","SR",115,14,5,5,"CA",8.1,36,30000,430,18,42,65
"222 - 11.30","F","R","N","Y","N","Y","Y","SO",NA,12,5,10,"CO",8.5,45,50000,250,12,44,70
"222 - 11.30","M","L","N","Y","Y","Y","Y","SO",37,14,6,3,"NC",8,40,50000,100,15,33,75
"222 - 11.30","M","R","Y","Y","Y","Y","Y","SR",100,15,5,5,"CO",7.5,48,1000,546,20,48,65
"222 - 11.30","F","R","N","Y","Y","Y","Y","SO",44,10,5,5,"ID",8.5,51,1e+06,408,8,27,65
"222 - 11.30","M","R","Y","Y","Y","Y","Y","FR",31,19,6,2,"ID",7.5,37,80000,1200,20,45,74
"222 - 11.30","M","R","N","Y","N","Y","Y","JR",50,12,5,8,"CA",10,35,1e+06,800,13,30,68
"222 - 11.30","F","R","N","Y","Y","Y","Y","SR",160,13,5,2,"ID",7.7,35,3e+05,1013,13,40,62
"222 - 11.30","F","R","N","Y","Y","Y","Y","JR",75,14,5,10,"AL",10,38,637,234,19,34,70
"222 - 11.30","M","R","N","Y","Y","Y","Y","JR",72,15,6,1,"WA",8.5,38,3000,123,13,34,73
"222 - 11.30","F","R","Y","Y","Y","Y","Y","JR",95,14,5,8,"AZ",12,39,2500,213,17,47,68
"222 - 11.30","F","R","N","Y","Y","Y","Y","SR",98,15,5,2,"UT",12.5,42,150000,328,20,40,62
"222 - 11.30","M","R","N","Y","N","Y","N","JR",87,15,5,7,"WY",10,36,57000,432,17,27,67
"222 - 11.30","M","R","Y","Y","Y","Y","Y","JR",68,15,6,2,"CA",10.5,46,3e+08,523,14,26,74
"222 - 11.30","F","R","N","Y","Y","Y","Y","JR",68,15,5,8,"ID",15,43,NA,210,17,32,68
"222 - 11.30","M","R","N","Y","Y","Y","Y","SO",52,13,5,10,"WA",9,46,1000,213,10,36,70
"222 - 11.30","M","R","N","Y","Y","Y","Y","JR",73,14,6,2,"ID",8.2,34,52136,1583,13,28,74
"222 - 11.30","M","R","N","Y","Y","Y","Y","SO",55,16,6,3,"ID",3.75,45,250000,200,13,37,75
"222 - 11.30","M","R","N","Y","Y","Y","N","JR",78,17,6,0,"ID",12,47,170641,343,6,39,72
"222 - 11.30","M","R","Y","Y","N","Y","Y","JR",54,13,6,2,"CA",10,42,1e+05,78,13,41,74
"222 - 11.30","F","R","N","Y","Y","Y","Y","JR",64,14,5,4,"UT",7.5,42,2e+05,206,2,48,64
"222 - 11.30","F","R","N","Y","Y","Y","Y","SO",72,14,5,6,"UT",7.65,41,170000,158,13,47,66
"222 - 11.30","F","R","N","Y","Y","Y","N","FR",16,15,5,2,"WA",8.25,40,20000,321,11,28,62
"222 - 11.30","F","R","N","Y","Y","Y","Y","JR",90,15,5,4,"CANADA",14,44,2e+05,300,4,44,64
"222 - 11.30","F","R","N","Y","Y","Y","Y","JR",88,17,5,4,"UT",8.25,42,3e+05,250,17,29,64
"222 - 11.30","M","R","Y","Y","Y","Y","Y","SO",50,15,6,2,"WA",7.7,43,25000,350,13,40,74
"222 - 11.30","M","R","N","Y","Y","N","Y","SO",40,16,5,5,"AZ",10.5,40,3500,2000,12,35,65
"224 - 2.00","M","R","N","Y","Y","Y","Y","JR",51,15,5,10,"MO",8.7,40,4e+08,295,3,40,70
"224 - 2.00","F","R","N","Y","Y","Y","Y","FR",13,14,5,6,"IL",8.25,47,NA,78,18,34,66
"224 - 2.00","M","R","N","Y","Y","Y","Y","SR",94,15,5,7,"CA",35,38,1e+05,264,14,48,66.75
"224 - 2.00","M","R","N","Y","Y","Y","Y","SR",90,15,6,2,NA,9,37,3e+05,180,12,50,74
"224 - 2.00","M","R","N","Y","Y","Y","Y","SR",108,14,5,11,"ID",25,45,124000,300,18,60,71
"224 - 2.00","M","R","N","Y","N","Y","Y","SR",150,16,5,6,"CA",8,48,91000,178,7,68,66
"224 - 2.00","F","R","N","Y","Y","Y","Y","JR",63,17,5,0,"CA",10,52,NA,482,14,40,60
"224 - 2.00","M","R","Y","Y","Y","Y","N","JR",80,16,5,8,"CA",18.25,38,380000,385,15,34,68
"224 - 2.00","M","R","Y","Y","Y","Y","N","FR",51,16,5,11,"ID",NA,42,3e+05,98,17,54,70.75
"224 - 2.00","F","L","N","Y","Y","Y","Y","SR",97,15,5,8,NA,8.65,55,15000,50,2,42,67.5
"224 - 2.00","M","R","Y","Y","Y","Y","N","SO",50,15,6,0,"ID",13,42,1.4e+07,783,19,42,72
"224 - 2.00","M","R","N","Y","Y","Y","Y","JR",78,12,5,8,"VA",8.15,37,864000,150,13,36,68
"224 - 2.00","M","R","N","Y","Y","N","N","SR",111,12,5,9,"ID",16.5,34,25000,307,4,44,69
"224 - 2.00","M","R","N","Y","Y","Y","Y","JR",90,14,6,0,"AZ",8,40,1000,50,17,25,72
"224 - 2.00","M","R","N","Y","Y","Y","N","SR",120,14,6,0,"CA",9,35,130000,321,16,36,72
"224 - 2.00","F","R","Y","Y","Y","Y","N","JR",89,15,5,7,"MS",10,45,10000,240,8,41,67
"224 - 2.00","M","L","Y","Y","Y","Y","Y","JR",66,15,5,7,"WI",8,46,1500000,476,10,37,67
"224 - 2.00","F","R","Y","Y","Y","Y","Y","JR",97,14,5,8,"ID",7.75,38,7e+05,276,10,33,68
"224 - 2.00","F","R","N","Y","Y","Y","Y","JR",63,15,5,9,"UT",8,40,1000,653,2,40,69
"224 - 2.00","M","R","N","Y","Y","Y","Y","SO",45,13,6,5,"CA",8.15,42,4.3e+07,384,3,49,77
"224 - 2.00","M","R","Y","Y","Y","Y","N","FR",19,15,6,3,"FL",10,42,4200000,354,7,45,75
"224 - 2.00","M","R","Y","Y","Y","N","Y","SO",30,17,6,3,"CA",NA,35,NA,325,3,33,75
"224 - 2.00","M","R","N","Y","Y","Y","Y","SO",52,17,5,11,"OR",8.25,21,7,123,13,48,71
"224 - 2.00","F","R","N","Y","Y","Y","Y","JR",172,15,5,2,"UT",7,32,10000,1580,10,40,62
"224 - 2.00","M","L","N","Y","Y","Y","Y","JR",97,16,6,3,"WA",12,42,3e+08,219,13,39,75
"224 - 2.00","F","R","N","Y","Y","Y",NA,"JR",120,15,5,9,"CA",7.75,35,120000,732,11,24,69
"224 - 2.00","M","L","Y","Y","Y","Y","Y","JR",95,15,6,0,"CA",8,40,30000,506,11,45,72
"224 - 2.00","M","R","Y","Y","Y","Y","Y","JR",70,14,6,0,"NC",9,38,28000,42,12,48,72
"224 - 2.00","M","R","Y","N","Y","N","Y","FR",27,16,5,8,"ID",8,35,1000,200,6,39,68
"224 - 2.00","M","R","N","Y","Y","Y","Y","SO",74,16,5,8,"AZ",10,42,2e+06,63,7,37,68
"224 - 2.00","M","R","N","Y","Y","Y","Y","JR",76,16,5,9,"MT",12,32,5e+05,160,19,34,69
"224 - 2.00","F","R","N","Y","Y","Y","Y","FR",15,12,5,4,"GA",NA,24,1280,264,16,36,64
"224 - 2.00","M","R","Y","Y","Y","Y","Y","FR",28,13,6,0,"MT",8.5,40,1e+05,283,16,51,72
"224 - 2.00","M","R","Y","Y","Y","Y","N","JR",68,14,6,1,"MN",10.5,40,10000,300,17,47,73
"224 - 2.00","M","R","N","Y","Y","Y",NA,"JR",60,15,5,8,"WA",10,19,NA,257,4,20,68
"224 - 2.00","M","R","Y","Y","Y","Y","N","FR",108,13,6,4,"CA",18,45,102000,606,17,20,76
"224 - 2.00","M","R","Y","Y","Y","Y","Y","FR",20,15,5,9,"CA",NA,34,1e+05,200,17,55,69
"224 - 2.00","M","R","N","Y","Y","Y","Y","SR",92,12,6,4,"TX",9,47,3462920,150,13,33,75.5
"224 - 2.00","M","R","N","N","Y","Y","Y","FR",70,147,5,9,"SAIPAN",7.5,39,3e+05,301,1,45,69
"224 - 2.00","M","L","N","Y","Y","Y","N","JR",115,12,5,10,"WA",8.15,43,5e+05,300,18,30,70
"224 - 2.00","M","R","N","Y","Y","Y","Y","JR",82,15,6,6,"CO",7.5,34,1000,56,17,35,78
"224 - 2.00","M","R","N","Y","Y","N",NA,"FR",15,13,5,10,NA,9,40,NA,155,5,35,70
"224 - 2.00","M","R","N","Y","N","Y","Y","JR",100,12,6,0,"ID",10,44,6000,417,13,52,72
"224 - 2.00","M","R","N","Y","Y","Y","Y","SR",109,13,5,7,"IL",14.23,43,1700000,836,8,41,67
NA,NA,"R","Y","Y","Y","Y","Y","SR",168,13,6,0,"CA",12,30,5000,200,2,45,72
