"Year","Vehicle","IsCertified","Price","Mileage","Seller","TypeOfSeller","Body","Color"
2005,"Toyota Prius","Yes",25488,24725,"Northbrook Toyota/Scion       800-701-0671","Dealer","Hatch","Green "
2005,"Toyota Prius","No",26995,12169,"Toyota of Rancho Santa Margarita       888-872-4392","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",25995,4929,"RC Automotive       888-638-8308","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",23695,5907,"Toyota of Wellesley       866-533-3984","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",24995,25215,"Fred Haas Toyota       888-470-0661","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",27999,7079,"Elk Grove Toyota Scion       800-952-5335","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",24980,15173,"Toyota of North Hollywood       800-731-8847","Dealer","Hatch","White "
2005,"Toyota Prius","No",26986,2018,"Carousel Toyota       888-510-9757","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",17500,7000,"Classified Ad      ","Private","Hatch","  "
2005,"Toyota Prius","Yes",24888,4332,"Lakewood Toyota       866-565-5390","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",25495,19569,"Bredemann Toyota/Scion       888-245-7011","Dealer","Hatch","Gray "
2005,"Toyota Prius","No",23900,6000,"Auto Network Group       877-634-4303","Dealer","Hatch","Pewter "
2005,"Toyota Prius","Yes",22990,2996,"Checkered Flag Toyota Scion       757-490-1111","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",26995,14499,"Central Florida Toyota Scion       888-452-2736","Dealer","Hatch","Gold "
2005,"Toyota Prius","No",22998,20912,"Darcars Toyota Scion Mazda       800-592-2439","Dealer","Hatch","Millennium Silv... "
2005,"Toyota Prius","No",25000,6400,"Individual Seller       214-264-2704","Private","Hatch","Black "
2005,"Toyota Prius","Yes",26900,23393,"Cramer Toyota of Venice       941-484-9000","Dealer","Hatch","Red "
2005,"Toyota Prius","No",25452,75,"Findlay Toyota       866-589-7642","Dealer","Hatch","Driftwood Pearl "
2005,"Toyota Prius","Yes",25995,5003,"Sloane Toyota Scion of Glenside       866-384-4018","Dealer","Hatch","Blue "
2005,"Toyota Prius","Yes",28995,11632,"Lithia Toyota of Vacaville       888-875-2595","Dealer","Hatch","Tidel "
2005,"Toyota Prius","No",23995,5000,"Classified Ad      ","Private","Hatch","  "
2005,"Toyota Prius","No",23650,16159,"Russel Toyota Certified Pre - Owned       888-709-0821","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",25750,7200,"Individual Seller       760-522-6283","Private","Hatch","Black "
2005,"Toyota Prius","Yes",24850,4000,"Broadway Toyota       800-239-3760","Dealer","Hatch","Gold "
2005,"Toyota Prius","Yes",26995,5814,"Lithia Toyota of Vacaville       888-875-2595","Dealer","Hatch","Silver "
2005,"Toyota Prius","Yes",22991,17749,"Coggin Toyota at the Avenues       866-517-7276","Dealer","Hatch","Gray "
2005,"Toyota Prius","No",26295,11603,"Lawrence Toyota Scion       888-840-6810 ext. 178","Dealer","Hatch","Blue "
2005,"Toyota Prius","No",23000,9500,"Individual Seller       603-502-8669","Private","Hatch","Black "
2005,"Toyota Prius","No",30000,8955,"Individual Seller       714-425-8270","Private","Hatch","Red "
2005,"Toyota Prius","No",23995,9130,"Al Hendrickson Toyota       877-244-0454","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",26895,8112,"Classified Ad      ","Private","Hatch","Black "
2005,"Toyota Prius","No",24980,21900,"Prestige Auto Sales       866-808-7070","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",21888,16947,"Fitzgerald Automall       877-809-6107","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",24000,20000,"Individual Seller       636-448-3644","Private","Hatch","Green "
2005,"Toyota Prius","No",23995,29050,"Get Rid of This LLC       888-223-5206","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",24995,22553,"Right Toyota       888-576-9880","Dealer","Hatch","Tan "
2005,"Toyota Prius","No",22995,5148,"Argie Auto Sales Inc.       888-807-0020","Dealer","Hatch","Beige "
2005,"Toyota Prius","No",26497,18988,"Motorcars Honda       888-381-6928","Dealer","Hatch","Green "
2005,"Toyota Prius","Yes",25999,6381,"Parkway Toyota       866-542-1137","Dealer","Hatch","Seasi "
2005,"Toyota Prius","No",25000,10009,"Individual Seller       305-609-0807","Private","Hatch","White "
2005,"Toyota Prius","No",23994,10902,"Neill Sandler Toyota       888-819-9928","Dealer","Hatch","Black "
2005,"Toyota Prius","Yes",27995,14465,"Toyota of Merced       888-770-5944","Dealer","Hatch","White "
2005,"Toyota Prius","Yes",25570,24777,"Courtesy Toyota Scion       877-406-1028","Dealer","Hatch","Gray "
2005,"Toyota Prius","No",27999,29839,"Cabe Toyota       888-258-1447","Dealer","Hatch","White "
2005,"Toyota Prius","Yes",24888,11084,"Scott Clark's Toyota       888-393-8020","Dealer","Hatch","Polar "
2005,"Toyota Prius","Yes",26497,18988,"Motorcars Toyota       888-811-0236","Dealer","Hatch","Green "
2005,"Toyota Prius","No",23800,7500,"Apex Autonet, Inc.       888-828-1719","Dealer","Hatch","Gray "
2005,"Toyota Prius","No",26488,14029,"Luther Acura - Subaru - Isuzu of White Bear       888-292-5482","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",22990,30248,"Lustine Toyota Scion       888-381-0617","Dealer","Hatch","Red "
2005,"Toyota Prius","Yes",29988,10679,"Maita Toyota of Sacramento       888-260-7123","Dealer","Hatch","Black "
2005,"Toyota Prius","Yes",25990,8995,"Checkered Flag Toyota Scion       757-490-1111","Dealer","Hatch","Tidel "
2005,"Toyota Prius","No",19490,45891,"Flemington Hyundai       888-896-4706","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",21995,6844,"Mike Duman Auto Sales       866-868-0269","Dealer","Hatch","Gray "
2005,"Toyota Prius","No",24980,20861,"Toyota of North Hollywood       800-731-8847","Dealer","Hatch","Silver "
2005,"Toyota Prius","No",26888,19406,"Fairway Chevrolet       888-852-7659","Dealer","Hatch","White "
2005,"Toyota Prius","No",22999,32616,"Country Chevrolet       877-803-0408","Dealer","Hatch","White "
2005,"Toyota Prius","No",26988,2500,"Chicago Northside Toyota Scion       866-440-7907","Dealer","Hatch","Black "
2005,"Toyota Prius","No",25995,20335,"Golden Valley Auto Sales       866-305-3143","Dealer","Hatch","Seaside Pearl "
2005,"Toyota Prius","No",23950,21907,"Quest Motors Inc.       866-543-8001","Dealer","Hatch","Silver "
2005,"Toyota Prius","Yes",29995,2778,"Stevens Creek Toyota       888-205-7814","Dealer","Hatch","White "
2005,"Toyota Prius","No",23559,6699,"Beltway Toyota       888-527-8563","Dealer","Hatch","White "
2005,"Toyota Prius","No",27995,21001,"Harvey of Bossier City, Inc.       888-454-2783","Dealer","Hatch","Gold "
2005,"Toyota Prius","Yes",24995,13041,"Toyota Lake City       800-587-4933","Dealer","Hatch","Black "
2005,"Toyota Prius","No",24999,3542,"Towne Toyota       866-873-3660","Dealer","Hatch","Silver "
